"시점","국적별(1)",국적별(2),관광
"2014.01","아시아주",소계,551769
"2014.01","미주",소계,40119
"2014.01","구주",소계,37564
"2014.01","대양주",소계,10052
"2014.01","아프리카",소계,824
"2014.01","기타",소계,7
"2014.02","아시아주",소계,560379
"2014.02","미주",소계,39440
"2014.02","구주",소계,35532
"2014.02","대양주",소계,7012
"2014.02","아프리카",소계,1157
"2014.02","기타",소계,12
"2014.03","아시아주",소계,744509
"2014.03","미주",소계,59493
"2014.03","구주",소계,51015
"2014.03","대양주",소계,9091
"2014.03","아프리카",소계,1799
"2014.03","기타",소계,20
"2014.04","아시아주",소계,844654
"2014.04","미주",소계,68239
"2014.04","구주",소계,53041
"2014.04","대양주",소계,13816
"2014.04","아프리카",소계,1937
"2014.04","기타",소계,28
"2014.05","아시아주",소계,824272
"2014.05","미주",소계,64001
"2014.05","구주",소계,49051
"2014.05","대양주",소계,11748
"2014.05","아프리카",소계,2191
"2014.05","기타",소계,19
"2014.06","아시아주",소계,811114
"2014.06","미주",소계,71380
"2014.06","구주",소계,48794
"2014.06","대양주",소계,12638
"2014.06","아프리카",소계,2240
"2014.06","기타",소계,11
"2014.07","아시아주",소계,900086
"2014.07","미주",소계,63785
"2014.07","구주",소계,52032
"2014.07","대양주",소계,12314
"2014.07","아프리카",소계,1672
"2014.07","기타",소계,16
"2014.08","아시아주",소계,971049
"2014.08","미주",소계,53205
"2014.08","구주",소계,48820
"2014.08","대양주",소계,9322
"2014.08","아프리카",소계,1793
"2014.08","기타",소계,15
"2014.09","아시아주",소계,802113
"2014.09","미주",소계,67440
"2014.09","구주",소계,52634
"2014.09","대양주",소계,15355
"2014.09","아프리카",소계,2173
"2014.09","기타",소계,13
"2014.10","아시아주",소계,903844
"2014.10","미주",소계,76473
"2014.10","구주",소계,60168
"2014.10","대양주",소계,13543
"2014.10","아프리카",소계,2742
"2014.10","기타",소계,34
"2014.11","아시아주",소계,779547
"2014.11","미주",소계,57884
"2014.11","구주",소계,49526
"2014.11","대양주",소계,11194
"2014.11","아프리카",소계,1995
"2014.11","기타",소계,24
"2014.12","아시아주",소계,782061
"2014.12","미주",소계,52428
"2014.12","구주",소계,36788
"2014.12","대양주",소계,15052
"2014.12","아프리카",소계,1337
"2014.12","기타",소계,35
"2015.01","아시아주",소계,633146
"2015.01","미주",소계,42000
"2015.01","구주",소계,36225
"2015.01","대양주",소계,10940
"2015.01","아프리카",소계,936
"2015.01","기타",소계,8
"2015.02","아시아주",소계,734979
"2015.02","미주",소계,40525
"2015.02","구주",소계,31763
"2015.02","대양주",소계,6743
"2015.02","아프리카",소계,1109
"2015.02","기타",소계,19
"2015.03","아시아주",소계,830119
"2015.03","미주",소계,65750
"2015.03","구주",소계,50202
"2015.03","대양주",소계,10632
"2015.03","아프리카",소계,1759
"2015.03","기타",소계,31
"2015.04","아시아주",소계,961190
"2015.04","미주",소계,79154
"2015.04","구주",소계,55488
"2015.04","대양주",소계,14567
"2015.04","아프리카",소계,2470
"2015.04","기타",소계,35
"2015.05","아시아주",소계,924385
"2015.05","미주",소계,69972
"2015.05","구주",소계,50284
"2015.05","대양주",소계,13696
"2015.05","아프리카",소계,2379
"2015.05","기타",소계,14
"2015.06","아시아주",소계,408205
"2015.06","미주",소계,58741
"2015.06","구주",소계,39794
"2015.06","대양주",소계,9158
"2015.06","아프리카",소계,2002
"2015.06","기타",소계,26
"2015.07","아시아주",소계,310081
"2015.07","미주",소계,56435
"2015.07","구주",소계,42025
"2015.07","대양주",소계,8869
"2015.07","아프리카",소계,1999
"2015.07","기타",소계,21
"2015.08","아시아주",소계,625023
"2015.08","미주",소계,51961
"2015.08","구주",소계,43493
"2015.08","대양주",소계,8283
"2015.08","아프리카",소계,2033
"2015.08","기타",소계,15
"2015.09","아시아주",소계,781633
"2015.09","미주",소계,61280
"2015.09","구주",소계,49135
"2015.09","대양주",소계,13048
"2015.09","아프리카",소계,2752
"2015.09","기타",소계,26
"2015.10","아시아주",소계,920545
"2015.10","미주",소계,76532
"2015.10","구주",소계,62413
"2015.10","대양주",소계,13336
"2015.10","아프리카",소계,3305
"2015.10","기타",소계,22
"2015.11","아시아주",소계,788686
"2015.11","미주",소계,60833
"2015.11","구주",소계,49607
"2015.11","대양주",소계,10219
"2015.11","아프리카",소계,2280
"2015.11","기타",소계,22
"2015.12","아시아주",소계,792712
"2015.12","미주",소계,54554
"2015.12","구주",소계,37509
"2015.12","대양주",소계,14720
"2015.12","아프리카",소계,1581
"2015.12","기타",소계,55
"2016.01","아시아주",소계,768650
"2016.01","미주",소계,45536
"2016.01","구주",소계,39216
"2016.01","대양주",소계,10398
"2016.01","아프리카",소계,1242
"2016.01","기타",소계,22
"2016.02","아시아주",소계,764871
"2016.02","미주",소계,41611
"2016.02","구주",소계,35055
"2016.02","대양주",소계,7002
"2016.02","아프리카",소계,1434
"2016.02","기타",소계,22
"2016.03","아시아주",소계,983522
"2016.03","미주",소계,67679
"2016.03","구주",소계,56948
"2016.03","대양주",소계,13379
"2016.03","아프리카",소계,1903
"2016.03","기타",소계,34
"2016.04","아시아주",소계,1058725
"2016.04","미주",소계,80640
"2016.04","구주",소계,58241
"2016.04","대양주",소계,14521
"2016.04","아프리카",소계,2044
"2016.04","기타",소계,30
"2016.05","아시아주",소계,1048902
"2016.05","미주",소계,80240
"2016.05","구주",소계,56505
"2016.05","대양주",소계,13532
"2016.05","아프리카",소계,3484
"2016.05","기타",소계,29
"2016.06","아시아주",소계,1119177
"2016.06","미주",소계,87179
"2016.06","구주",소계,54436
"2016.06","대양주",소계,14049
"2016.06","아프리카",소계,2225
"2016.06","기타",소계,50
"2016.07","아시아주",소계,1254992
"2016.07","미주",소계,75508
"2016.07","구주",소계,56018
"2016.07","대양주",소계,16193
"2016.07","아프리카",소계,2743
"2016.07","기타",소계,42
"2016.08","아시아주",소계,1185500
"2016.08","미주",소계,61917
"2016.08","구주",소계,52790
"2016.08","대양주",소계,9941
"2016.08","아프리카",소계,2334
"2016.08","기타",소계,32
"2016.09","아시아주",소계,1052312
"2016.09","미주",소계,73571
"2016.09","구주",소계,55322
"2016.09","대양주",소계,15762
"2016.09","아프리카",소계,2450
"2016.09","기타",소계,33
"2016.10","아시아주",소계,1130299
"2016.10","미주",소계,86426
"2016.10","구주",소계,69322
"2016.10","대양주",소계,14794
"2016.10","아프리카",소계,2816
"2016.10","기타",소계,35
"2016.11","아시아주",소계,940368
"2016.11","미주",소계,67502
"2016.11","구주",소계,53910
"2016.11","대양주",소계,12641
"2016.11","아프리카",소계,2029
"2016.11","기타",소계,21
"2016.12","아시아주",소계,980211
"2016.12","미주",소계,62713
"2016.12","구주",소계,40904
"2016.12","대양주",소계,17201
"2016.12","아프리카",소계,1707
"2016.12","기타",소계,33
"2017.01","아시아주",소계,874239
"2017.01","미주",소계,47991
"2017.01","구주",소계,42243
"2017.01","대양주",소계,12525
"2017.01","아프리카",소계,1193
"2017.01","기타",소계,32
"2017.02","아시아주",소계,855934
"2017.02","미주",소계,46066
"2017.02","구주",소계,41087
"2017.02","대양주",소계,8370
"2017.02","아프리카",소계,1463
"2017.02","기타",소계,28
"2017.03","아시아주",소계,819673
"2017.03","미주",소계,72485
"2017.03","구주",소계,63211
"2017.03","대양주",소계,13094
"2017.03","아프리카",소계,1892
"2017.03","기타",소계,34
"2017.04","아시아주",소계,676591
"2017.04","미주",소계,84821
"2017.04","구주",소계,70589
"2017.04","대양주",소계,20385
"2017.04","아프리카",소계,2224
"2017.04","기타",소계,59
"2017.05","아시아주",소계,592410
"2017.05","미주",소계,75439
"2017.05","구주",소계,56006
"2017.05","대양주",소계,12397
"2017.05","아프리카",소계,2294
"2017.05","기타",소계,44
"2017.06","아시아주",소계,618807
"2017.06","미주",소계,83931
"2017.06","구주",소계,55550
"2017.06","대양주",소계,14942
"2017.06","아프리카",소계,1911
"2017.06","기타",소계,40
"2017.07","아시아주",소계,626472
"2017.07","미주",소계,79968
"2017.07","구주",소계,60036
"2017.07","대양주",소계,13382
"2017.07","아프리카",소계,2492
"2017.07","기타",소계,39
"2017.08","아시아주",소계,687085
"2017.08","미주",소계,63353
"2017.08","구주",소계,53513
"2017.08","대양주",소계,10979
"2017.08","아프리카",소계,2268
"2017.08","기타",소계,28
"2017.09","아시아주",소계,691615
"2017.09","미주",소계,70135
"2017.09","구주",소계,59725
"2017.09","대양주",소계,14505
"2017.09","아프리카",소계,3401
"2017.09","기타",소계,34
"2017.10","아시아주",소계,740327
"2017.10","미주",소계,78035
"2017.10","구주",소계,66213
"2017.10","대양주",소계,12723
"2017.10","아프리카",소계,2552
"2017.10","기타",소계,31
"2017.11","아시아주",소계,743671
"2017.11","미주",소계,67082
"2017.11","구주",소계,56854
"2017.11","대양주",소계,10819
"2017.11","아프리카",소계,2285
"2017.11","기타",소계,34
"2017.12","아시아주",소계,800420
"2017.12","미주",소계,62363
"2017.12","구주",소계,44461
"2017.12","대양주",소계,16694
"2017.12","아프리카",소계,1964
"2017.12","기타",소계,36
"2018.01","아시아주",소계,631714
"2018.01","미주",소계,51615
"2018.01","구주",소계,45457
"2018.01","대양주",소계,12556
"2018.01","아프리카",소계,1352
"2018.01","기타",소계,38
"2018.02","아시아주",소계,658805
"2018.02","미주",소계,62658
"2018.02","구주",소계,57936
"2018.02","대양주",소계,9060
"2018.02","아프리카",소계,1990
"2018.02","기타",소계,28
"2018.03","아시아주",소계,923677
"2018.03","미주",소계,82722
"2018.03","구주",소계,65682
"2018.03","대양주",소계,11358
"2018.03","아프리카",소계,2068
"2018.03","기타",소계,35
"2018.04","아시아주",소계,903933
"2018.04","미주",소계,91804
"2018.04","구주",소계,75615
"2018.04","대양주",소계,17046
"2018.04","아프리카",소계,2908
"2018.04","기타",소계,47
"2018.05","아시아주",소계,824326
"2018.05","미주",소계,86405
"2018.05","구주",소계,63468
"2018.05","대양주",소계,13855
"2018.05","아프리카",소계,3357
"2018.05","기타",소계,38
"2018.06","아시아주",소계,885680
"2018.06","미주",소계,93933
"2018.06","구주",소계,60625
"2018.06","대양주",소계,13329
"2018.06","아프리카",소계,2236
"2018.06","기타",소계,52
"2018.07","아시아주",소계,856131
"2018.07","미주",소계,89161
"2018.07","구주",소계,69723
"2018.07","대양주",소계,12669
"2018.07","아프리카",소계,2888
"2018.07","기타",소계,40
"2018.08","아시아주",소계,954581
"2018.08","미주",소계,70085
"2018.08","구주",소계,60623
"2018.08","대양주",소계,12675
"2018.08","아프리카",소계,2705
"2018.08","기타",소계,42
"2018.09","아시아주",소계,852818
"2018.09","미주",소계,77589
"2018.09","구주",소계,63552
"2018.09","대양주",소계,17021
"2018.09","아프리카",소계,2304
"2018.09","기타",소계,42
"2018.10","아시아주",소계,1066988
"2018.10","미주",소계,102990
"2018.10","구주",소계,79989
"2018.10","대양주",소계,16268
"2018.10","아프리카",소계,2920
"2018.10","기타",소계,46
"2018.11","아시아주",소계,979251
"2018.11","미주",소계,77176
"2018.11","구주",소계,59286
"2018.11","대양주",소계,13196
"2018.11","아프리카",소계,1754
"2018.11","기타",소계,46
"2018.12","아시아주",소계,978485
"2018.12","미주",소계,67017
"2018.12","구주",소계,46401
"2018.12","대양주",소계,18849
