date,삼성전자,SK하이닉스,LG화학,삼성바이오로직스,셀트리온,NAVER,현대차,카카오
2017-01-31,39460,53700,262000,161000,92228,151815,139500,78006
2017-02-28,38440,46700,283000,164500,93425,155420,149500,85736
2017-03-31,41200,50500,294000,173000,82932,171243,157500,83427
2017-04-30,44620,54000,274000,175000,82471,160227,144000,90756
2017-05-31,44700,57000,302000,220000,87994,169240,163000,99189
2017-06-30,47540,67400,291000,292000,105943,167838,159500,101900
2017-07-31,48200,66000,328000,272000,99868,160828,145000,120000
2017-08-31,46320,68600,379000,283000,105943,151214,140500,123000
2017-09-30,51280,82900,392000,337500,130703,149212,150500,144000
2017-10-31,55080,82200,403500,384000,159328,179054,161000,144000
2017-11-30,50800,76800,417500,342500,184180,160227,164500,136500
2017-12-31,50960,76500,405000,371000,207554,174247,156000,137000
2018-01-31,49900,73500,432000,438500,296358,182259,162000,140000
2018-02-28,47060,76800,383000,450000,331251,160828,161500,128000
2018-03-31,49220,81300,385500,487000,290431,158625,143500,132000
2018-04-30,53000,84500,360000,488000,254303,143403,160000,111000
2018-05-31,50700,93400,338500,435000,249142,133990,139000,103500
2018-06-30,46650,85700,333500,417000,284801,152817,125500,114500
2018-07-31,46250,86300,375000,373000,254772,143403,129500,112500
2018-08-31,48450,83000,366000,463000,253365,150614,125000,125000
2018-09-30,46450,73100,365500,534000,278701,143403,129500,119000
2018-10-31,42400,68200,347000,387500,204099,114500,106500,91600
2018-11-30,41850,69600,345500,334500,224744,126500,107000,112500
2018-12-31,38700,60500,347000,386500,212520,122000,118500,103000
2019-01-31,46150,73900,368000,399000,209177,136000,129500,99300
2019-02-28,45100,70000,390500,376000,195327,133000,126500,103500
2019-03-31,44650,74200,366000,319500,172881,124000,119500,103500
2019-04-30,45850,79000,361000,340000,202491,119500,138500,120000
2019-05-31,42500,65300,333000,300000,181478,111500,134500,124500
2019-06-30,47000,69500,354500,320000,196282,114000,140000,131500
2019-07-31,45350,76900,337500,280000,162852,138000,126500,127000
2019-08-31,44000,77400,330500,269000,149958,146500,128500,134500
2019-09-30,49050,82200,299500,307500,156644,157000,134000,135500
2019-10-31,50400,82000,307500,398500,191029,164000,122000,141500
2019-11-30,50300,80900,306500,393500,166195,172000,121000,155500
2019-12-31,55800,94100,317500,433000,181000,186500,120500,153500
2020-01-31,56400,93500,337500,484500,165000,179500,125000,159000
2020-02-29,54200,87900,368000,463500,170000,174000,115000,172000
2020-03-31,47750,83300,305000,482000,229000,170000,88700,155500
2020-04-30,50000,83700,376500,581000,210500,197500,93600,184000
2020-05-31,50700,81500,390500,622000,213500,226000,98000,263500
2020-06-30,52800,85100,490500,775000,306000,267000,97700,267500
2020-07-31,57900,82800,568000,733000,296500,301000,126500,343500
2020-08-31,54000,75100,740000,778000,297000,322500,176500,407000
2020-09-30,58200,84000,654000,690000,257500,296500,178500,364500
2020-10-31,56600,79900,611000,682000,241000,290000,164500,330000
2020-11-30,66700,97500,800000,786000,340000,277500,181500,368000
2020-12-08,71700,115000,811000,828000,350000,285000,186500,374500
